CINCINNATI FINANCIAL476 FAIRFIELD            OH 45014 4754
CISCO SYSTEMS60  SAN JOSE             CA 95134 73700
CITIGROUP30  NEW YORK             NY 10022 219000
CITIZENS FINANCIAL GROUP451 PROVIDENCE           RI 2903  17600
CLOROX453 OAKLAND              CA 94612 8000
CMS ENERGY419 JACKSON              MI 49201 7750
COCA-COLA64  ATLANTA              GA 30313 100300
COGNIZANT TECHNOLOGY SOLUTIONS205 TEANECK              NJ 7666  260200
COLGATE-PALMOLIVE182 NEW YORK             NY 10022 36700
COMCAST31  PHILADELPHIA         PA 19103 159000
COMMUNITY HEALTH SYSTEMS130 FRANKLIN             TN 37067 108000
COMPUTER SCIENCES CORPORATION379 MCLEAN               VA 22102 59000
CONAGRA FOODS197 OMAHA                NE 68102 20900
CONOCOPHILLIPS115 HOUSTON              TX 77079 13300
CONSOLIDATED EDISON234 NEW YORK             NY 10003 14960
CONSTELLATION BRANDS408 FAIRPORT             NY 14450 9000
CORE-MARK HOLDING247 SOUTH SAN FRANCISCO  CA 94080 7688
CORNING298 CORNING              NY 14831 40700
COSTCO16  ISSAQUAH             WA 98027 172000
CROWN HOLDINGS333 PHILADELPHIA         PA 19154 23992
CST BRANDS307 SAN ANTONIO          TX 78259 12380
CSX257 JACKSONVILLE         FL 32202 26628
CUMMINS159 COLUMBUS             IN 47201 55400
CVS HEALTH7   WOONSOCKET           RI 2895  204000
D.R. HORTON232 FORT WORTH           TX 76102 6976
DANA HOLDING447 MAUMEE               OH 43537 24900
DANAHER144 WASHINGTON           DC 20037 62000
DARDEN RESTAURANTS385 ORLANDO              FL 32837 150942
DAVITA HEALTHCARE PARTNERS181 DENVER               CO 80202 70300
DEAN FOODS351 DALLAS               TX 75204 17000
DEERE105 MOLINE               IL 61265 56767
DELEK US HOLDINGS480 BRENTWOOD            TN 37027 1326
DELL TECHNOLOGIES41  ROUND ROCK           TX 78682 138000
DELTA AIR LINES71  ATLANTA              GA 30354 83756
DEVON ENERGY231 OKLAHOMA CITY        OK 73102 3545
DICK'S SPORTING GOODS340 CORAOPOLIS           PA 15108 27550
DILLARD'S417 LITTLE ROCK          AR 72201 30800
DISCOVER FINANCIAL SERVICES277 RIVERWOODS           IL 60015 15549
DISCOVERY COMMUNICATIONS412 SILVER SPRING        MD 20910 7000
DISH NETWORK186 ENGLEWOOD            CO 80112 16000
DISNEY52  BURBANK              CA 91521 195000
DOLLAR GENERAL128 GOODLETTSVILLE       TN 37072 121000
