W.R. BERKLEY354 GREENWICH            CT 6830  7608
W.W. GRAINGER282 LAKE FOREST          IL 60045 25000
WALGREENS BOOTS ALLIANCE17  DEERFIELD            IL 60015 300000
WALMART1   BENTONVILLE          AR 72716 2300000
WASTE MANAGEMENT201 HOUSTON              TX 77002 41200
WEC ENERGY GROUP368 MILWAUKEE            WI 53203 8074
WELLCARE HEALTH PLANS195 TAMPA                FL 33634 7400
WELLS FARGO25  SAN FRANCISCO        CA 94163 269100
WESCO INTERNATIONAL373 PITTSBURGH           PA 15219 9000
WESTERN & SOUTHERN FINANCIAL GROUP483 CINCINNATI           OH 45202 2178
WESTERN DIGITAL217 IRVINE               CA 92612 72878
WESTERN REFINING349 EL PASO              TX 79901 7134
WESTERN UNION478 ENGLEWOOD            CO 80112 10700
WESTROCK190 NORCROSS             GA 30071 39000
WEYERHAEUSER341 SEATTLE              WA 98104 10400
WHIRLPOOL137 BENTON HARBOR        MI 49022 93000
WHOLE FOODS MARKET176 AUSTIN               TX 78703 73515
WILLIAMS367 TULSA                OK 74172 5604
WINDSTREAM HOLDINGS485 LITTLE ROCK          AR 72212 11870
WORLD FUEL SERVICES103 MIAMI                FL 33178 5000
WYNDHAM WORLDWIDE461 PARSIPPANY           NJ 7054  37800
XCEL ENERGY256 MINNEAPOLIS          MN 55401 11476
XEROX162 NORWALK              CT 6850  133600
XPO LOGISTICS191 GREENWICH            CT 6831  87000
YAHOO498 SUNNYVALE            CA 94089 8500
YUM BRANDS422 LOUISVILLE           KY 40213 90000
YUM CHINA HOLDINGS399 PLANO                TX 75024 420000
ZIMMER BIOMET HOLDINGS352 WARSAW               IN 46580 18500
 
